NAME,'MICRODOS_OPTS1_861011','MICRODOS_OPTS1_861115','MICRODOS_OPTS1_870430','MICRODOS_OPTS1_871220','MICRODOS_OPTS2_880630','MICRODOS_OPTS2_900105'
INFO_TEMPLATE,microdos,microdos,microdos,microdos,microdos,microdos
INFO_IMAGES_COUNT,7,2,28,2,42,4
ROMCHECK,RQ_OPTS1,RQ_OPTS1,RQ_OPTS1,RQ_OPTS1,RQ_OPTS2,RQ_OPTS_ANY
BIOS_LOGO_ADDR,0xE693,0xE693,0xE5A2,0xBE4C,0xBEA3,0xF04E
,0x451B,0x451B,0x451B,0x451B,0x451B,0x451B
,0x0a0d,0x0a0d,0x0a0d,0x0a0d,0x0a0d,0x0a0d
JP_READ_ADDR,0xE497,0xE497,0xE497,0xE97F,0xEAFD,0xEAFF
JP_READ_VALUE,0xE627,0xE627,0xE627,0xE9B6,0xEB34,0xEB36
,MD_READ,MD_READ,MD_READ,MD_READ,MD_READ,MD_READ
JP_WRITE_ADDR,0xE4A0,0xE4A0,0xE4A0,0xE984,0xEB02,0xEB04
JP_WRITE_VALUE,0xE62A,0xE62A,0xE62A,0xEA20,0xEB9E,0xEBA0
,MD_WRITE,MD_WRITE,MD_WRITE,MD_WRITE,MD_WRITE,MD_WRITE
GET_INFO_FDC_SEEK_ADDR,0xEAAE,0xEAAE,0xEAAE,0xEB13,0xEC91,0xEC87
,0xcd,0xcd,0xcd,0xcd,0xcd,0xcd
,0x00,0x00,0x00,0x00,0x00,0x00
,0xEAAE,0xEAAE,0xEAAE,0xEB13,0xEC91,0xEC87
GET_INFO_FDC_SEEK2,0xE9E9,0xE9E9,0xE9E9,0xECA9,0xee27,0xEE14
,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
GET_INFO_CALL_READ_ADDR,0xEAB4,0xEAB4,0xEAB4,0xEB16,0xEC94,0xEC8A
GET_INFO_CALL_READ_VALUE,0xEC5D,0xEC5D,0xEC5D,0xECAE,0xEE2C,0xEE1E
,MD_READ_INFOSECTOR,MD_READ_INFOSECTOR,MD_READ_INFOSECTOR,MD_READ_INFOSECTOR,MD_READ_INFOSECTOR,MD_READ_INFOSECTOR
DISKINFO_DRIVE,0xDFC8,0xDFC8,0xDF5A,0xEDA4,0xEF23,0xEF06
,MD_DRV2,MD_DRV2,MD_DRV2,MD_DRV2,MD_DRV2,MD_DRV2
DISKINFO_READ_BUFFER,0xEEB0,0xEEB0,0xE09A,0xEDAC,0xEF2B,0xF04E
,MD_RDBUF2,MD_RDBUF2,MD_RDBUF2,MD_RDBUF2,MD_RDBUF2,MD_RDBUF2
DISK_IO_PARAM_BLOCK_ADDR,0xDDBC,0xDDBC,0xDDC1,0xED97,0xEF16,0xEEF8
,MD_PARAM2,MD_PARAM2,MD_PARAM2,MD_PARAM2,MD_PARAM2,MD_PARAM2
SELDSK_ADDR,0xDD86,0xDD86,0xDD8B,0xDDB1,0xDD88,0xdd4c
CUSTOM_CHECKERS01A,0xBC80,0xBC80,0xBE80,0xBD80,0xBD80,0xBD80
CUSTOM_CHECKERS01V,0xBC80,0xBC80,0xBE80,0xBD80,0xBD80,0xBD80
CUSTOM_CHECKERS02A,0xBC82,0xBC82,0xBE82,0xBD82,0xBD82,0xBD82
CUSTOM_CHECKERS02V,0xBD00,0xBD00,0xBF00,0xBE00,0xBE00,0xBE00
CUSTOM_CHECKERS03A,0xc000+1,0xc000+1,0xc000+1,0xc000+1,0xc000+1,0xc000+1
CUSTOM_CHECKERS03V,0xC4BF,0xC4BF,0xC49A,0xC495,0xC488,0xC487
CUSTOM_CHECKERS04A,0xc003+1,0xc003+1,0xc003+1,0xc003+1,0xc003+1,0xc003+1
CUSTOM_CHECKERS04V,0xDBFB,0xDBFB,0xDBFD,0xDC25,0xDBFC,0xDBC0
CUSTOM_CHECKERS05A,0xDF95,0xDF95,,0xEACE,0xEC4C,0xbe07+1
CUSTOM_CHECKERS05V,0x50,0x40,,0x21,0x21,0x02
CUSTOM_CHECKERS06A,0xDF97,0xDF97,,,,0xEC42
CUSTOM_CHECKERS06V,0x18,0x10,,,,0x21
