NAME,'CPM_NET_KORNET_drive_a','CPM_NET_KORNET_drive_b','CPM_NET_SFERA1','CPM_NET_SFERA2'
INFO_TEMPLATE,unsopported,unsopported,unsopported,unsopported
INFO_IMAGES_COUNT,2,2,2,1
,,,,
CUSTOM_CHECKERS01A,0xDB59+1,0x8000  ,0xC380  ,0xC380  
CUSTOM_CHECKERS01V,0xDAAA,0x00EE ,0xC380 ,0xC380 
CUSTOM_CHECKERS02A,0xD980,0x8000+2,0xC382  ,0xC382  
CUSTOM_CHECKERS02V,0xD980,0x0000,0xDa00,0xDa00
CUSTOM_CHECKERS03A,0xD982,0x8000+4,0xC384  ,0xC384  
CUSTOM_CHECKERS03V,0xDa00,0x000E,0x000A,0x000A
CUSTOM_CHECKERS04A,0xD984,,0xDB5C+1,0xDB5C+1
CUSTOM_CHECKERS04V,0x0006,,0xDAC3,0xDAC3
CUSTOM_CHECKERS05A,0xDA03+1,,0xDA03+1,0xDA03+1
CUSTOM_CHECKERS05V,0xDBA1,,0xDB6E,0xDB6E
CUSTOM_CHECKERS06A,0xDA27+1,,0xDA27+1,0xDA27+1
CUSTOM_CHECKERS06V,0xDEB0,,0xDED4,0xDED0
CUSTOM_CHECKERS07A,0xDA2A+1,,0xDA2A+1,0xDA2A+1
CUSTOM_CHECKERS07V,0xE19A,,0xE193,0xE18F
CUSTOM_CHECKERS08A,0xDA33+1,,0xDA3C+1,0xDA3C+1
CUSTOM_CHECKERS08V,0xDFC8,,0xDD06,0xDD02
